post_id,post_post_url,post_creation_time,period_key,source_type,page_name,page_profile_url,brand,attribution_confidence,reactions,comments,shares,EP,ADV,SentimentProxy,comments_export_coverage,unique_comment_authors,comment_replies_sum,Depth,depth_available,median_reply_time_minutes,ServiceScore,BES_raw
7650,https://www.facebook.com/groups/bcub.bd/permalink/3781232345513577/,2025-12-23T19:43:57+00:00,2025-W52,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Al-Arafah Islami Bank,comment_tag,13,28,0,69,1,-0.07692307692307693,1,15,32,6.269096283706261,true,,0,1.6893450880522551
7650,https://www.facebook.com/groups/bcub.bd/permalink/3781232345513577/,2025-12-23T19:43:57+00:00,2025-W52,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Islami Bank Bangladesh,comment_tag,13,28,0,69,1,-0.07692307692307693,1,15,32,6.269096283706261,true,,0,1.6893450880522551
7650,https://www.facebook.com/groups/bcub.bd/permalink/3781232345513577/,2025-12-23T19:43:57+00:00,2025-W52,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Prime Bank,comment_tag,13,28,0,69,1,-0.07692307692307693,1,15,32,6.269096283706261,true,,0,1.6893450880522551
7811,https://www.facebook.com/groups/bcub.bd/permalink/3774294262874052/,2025-12-15T15:27:07+00:00,2025-W51,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,City Bank,post_tag,32,9,1,53,1,0.15625,0,0,0,0,false,,0,0.7916645430966303
7804,https://www.facebook.com/groups/bcub.bd/permalink/3774717412831737/,2025-12-15T15:28:56+00:00,2025-W51,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,BRAC Bank PLC,post_tag,4,2,1,11,1,0,0,0,0,0,false,,0,0.511365433580189
7849,https://www.facebook.com/BRACBANK/posts/pfbid02wbN9C6JaDQ79urt4zZTfWzQUqf2ciZyQY8PiDQZ1TQU8Pk2k4vRenn7EjR3Yv45Ql,2025-10-14T12:58:59+00:00,2025-W42,owned,BRAC Bank PLC,https://www.facebook.com/BRACBANK,BRAC Bank PLC,post_tag,203,10,4,235,5,0.09359605911330049,0.3,1,2,0,false,,0,1.2106852852891077
3642,https://www.facebook.com/groups/bcub.bd/permalink/3787765774860234/,2025-12-29T17:31:47+00:00,2026-W01,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Dutch-Bangla Bank PLC,post_tag,1,0,0,1,0,0,0,0,0,0,false,,0,0.1039720770839918
3925,https://www.facebook.com/groups/bcub.bd/permalink/3781217335515078/,2025-12-23T19:44:28+00:00,2025-W52,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,NCC Bank,comment_tag,27,23,0,73,1,0.037037037037037035,0.83,10,19,5.393627546352361,true,,0,1.6062462950084315
3925,https://www.facebook.com/groups/bcub.bd/permalink/3781217335515078/,2025-12-23T19:44:28+00:00,2025-W52,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,United Commercial Bank,comment_tag,27,23,0,73,1,0.037037037037037035,0.83,10,19,5.393627546352361,true,,0,1.6062462950084315
3925,https://www.facebook.com/groups/bcub.bd/permalink/3781217335515078/,2025-12-23T19:44:28+00:00,2025-W52,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Prime Bank,comment_tag,27,23,0,73,1,0.037037037037037035,0.83,10,19,5.393627546352361,true,,0,1.6062462950084315
3694,https://www.facebook.com/groups/bcub.bd/permalink/3784595588510586/,2025-12-25T19:08:58+00:00,2025-W52,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Dutch-Bangla Bank PLC,post_tag_list,8,13,0,34,1,0,0.85,7,9,4.382026634673881,true,,0,1.3292356405364831
3694,https://www.facebook.com/groups/bcub.bd/permalink/3784595588510586/,2025-12-25T19:08:58+00:00,2025-W52,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Eastern Bank PLC,post_tag_list,8,13,0,34,1,0,0.85,7,9,4.382026634673881,true,,0,1.3292356405364831
3694,https://www.facebook.com/groups/bcub.bd/permalink/3784595588510586/,2025-12-25T19:08:58+00:00,2025-W52,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,United Commercial Bank,post_tag_list,8,13,0,34,1,0,0.85,7,9,4.382026634673881,true,,0,1.3292356405364831
7839,https://www.facebook.com/BRACBANK/posts/pfbid0ttsHff2bT7aLZUpCuqTtKFsRKuNKva7ne1Z2hSdFUdLLesywzmpdqhqaq6AgikZWl,2025-10-15T17:08:05+00:00,2025-W42,owned,BRAC Bank PLC,https://www.facebook.com/BRACBANK,BRAC Bank PLC,post_tag,1300,58,35,1521,36,-0.4207692307692308,0.84,26,29,6.697034247666485,true,37.2,0.2725778445520516,2.719523246355639
3761,https://www.facebook.com/primebankofficial/posts/pfbid02mYwpxKk5rsURnyAEb4HrRaR8M8CChJeDTrVyzqNYZ44JcJmUFxkuzxuLeFySYZQWl,2025-11-10T10:13:02+00:00,2025-W46,owned,Prime Bank,https://www.facebook.com/primebankofficial,Prime Bank,post_tag,0,9,6,36,6,0,0,0,0,0,false,,0,0.9308197167076963
7883,https://www.facebook.com/BRACBANK/posts/pfbid033xc125RVCAamZRGhgcuHe9Q6HvaTYiPzZq1Zxu46Q49yrEJQ5M8197rzvNGSWBfol,2025-10-25T04:00:22+00:00,2025-W43,owned,BRAC Bank PLC,https://www.facebook.com/BRACBANK,BRAC Bank PLC,post_tag,3950,303,62,4742,62,0.07088607594936709,0,0,0,0,false,,0,2.1231008407422225
7534,https://www.facebook.com/groups/bcub.bd/permalink/3788471638122981/,2025-12-30T14:50:01+00:00,2026-W01,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Prime Bank,post_tag,7,12,0,31,1,0,1,5,6,3.737669618283368,true,,0,1.2191402642744533
7542,https://www.facebook.com/groups/bcub.bd/permalink/3788319648138180/,2025-12-30T11:15:46+00:00,2026-W01,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Islami Bank Bangladesh,comment_tag,17,11,0,39,1,0,0.91,7,4,3.688879454113936,true,,0,1.2452932723461698
7542,https://www.facebook.com/groups/bcub.bd/permalink/3788319648138180/,2025-12-30T11:15:46+00:00,2026-W01,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,BRAC Bank PLC,comment_tag,17,11,0,39,1,0,0.91,7,4,3.688879454113936,true,,0,1.2452932723461698
3697,https://www.facebook.com/groups/bcub.bd/permalink/3784277231875755/,2025-12-25T11:03:43+00:00,2025-W52,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Unspecified Bank,comment_tag,28,36,1,103,2,0.03571428571428571,0.97,26,18,6.240275845170769,true,,0,1.864922469380443
7726,https://www.facebook.com/groups/bcub.bd/permalink/3779934248976720/,2025-12-21T06:47:38+00:00,2025-W51,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,BRAC Bank PLC,post_tag,4,1,0,6,0,0,0,0,0,0,false,,0,0.291886522358297
